[1/33] ---- Running throughput benchmarks (higher is better) ----
           OptimistAtomicQueueB2,12,i:   3,604,282 msg/sec
           OptimistAtomicQueueB2,13,i:   3,646,574 msg/sec
           OptimistAtomicQueueB2,14,i:   3,598,676 msg/sec

---- Running ping-pong benchmarks (lower is better) ----
     boost::lockfree::spsc_queue: 0.000000291 sec/round-trip
          boost::lockfree::queue: 0.000000800 sec/round-trip
                pthread_spinlock: 0.000000471 sec/round-trip
   moodycamel::ReaderWriterQueue: 0.000000402 sec/round-trip
     moodycamel::ConcurrentQueue: 0.000000506 sec/round-trip
                 tbb::spin_mutex: 0.000000311 sec/round-trip
     tbb::speculative_spin_mutex: 0.000000850 sec/round-trip
   tbb::concurrent_bounded_queue: 0.000000622 sec/round-trip
                     AtomicQueue: 0.000000361 sec/round-trip
                    AtomicQueueB: 0.000000406 sec/round-trip
             OptimistAtomicQueue: 0.000000225 sec/round-trip
            OptimistAtomicQueueB: 0.000000327 sec/round-trip
                    AtomicQueue2: 0.000000374 sec/round-trip
                   AtomicQueueB2: 0.000000465 sec/round-trip
            OptimistAtomicQueue2: 0.000000249 sec/round-trip
           OptimistAtomicQueueB2: 0.000000459 sec/round-trip

[2/33] ---- Running throughput benchmarks (higher is better) ----
     boost::lockfree::spsc_queue, 1,s:  27,761,485 msg/sec
     boost::lockfree::spsc_queue, 1,i:  25,940,157 msg/sec
          boost::lockfree::queue, 1,s:   2,985,125 msg/sec
          boost::lockfree::queue, 2,s:   2,627,044 msg/sec
          boost::lockfree::queue, 3,s:   2,491,622 msg/sec
          boost::lockfree::queue, 4,s:   2,397,335 msg/sec
          boost::lockfree::queue, 5,s:   2,308,963 msg/sec
          boost::lockfree::queue, 6,s:   2,195,065 msg/sec
          boost::lockfree::queue, 7,s:   2,059,976 msg/sec
          boost::lockfree::queue, 8,s:     940,938 msg/sec
          boost::lockfree::queue, 9,s:     887,117 msg/sec
          boost::lockfree::queue,10,s:     847,254 msg/sec
          boost::lockfree::queue,11,s:     818,817 msg/sec
          boost::lockfree::queue,12,s:     837,668 msg/sec
          boost::lockfree::queue,13,s:     944,919 msg/sec
