
2026-04-28 08:52:27 [1/33] Using 32 available CPUs: [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31].
---- Running throughput benchmarks with up to 32 CPUs (higher is better) ----
                     AtomicQueue,13,s:     761,999 msg/sec
                     AtomicQueue,13,i:     828,750 msg/sec
                     AtomicQueue,14,s:     709,944 msg/sec
                     AtomicQueue,14,i:     814,391 msg/sec
                     AtomicQueue,15,s:     703,195 msg/sec
                     AtomicQueue,15,i:     813,015 msg/sec
                     AtomicQueue,16,s:     669,888 msg/sec
                     AtomicQueue,16,i:     805,670 msg/sec
             OptimistAtomicQueue, 1,s: 338,556,584 msg/sec
             OptimistAtomicQueue, 1,i: 340,354,853 msg/sec
             OptimistAtomicQueue, 2,s:  17,055,677 msg/sec
             OptimistAtomicQueue, 2,i:  18,797,195 msg/sec
             OptimistAtomicQueue, 3,s:  17,249,566 msg/sec
             OptimistAtomicQueue, 3,i:  16,604,304 msg/sec
             OptimistAtomicQueue, 4,s:  17,284,434 msg/sec
             OptimistAtomicQueue, 4,i:  19,438,649 msg/sec
             OptimistAtomicQueue, 5,s:   9,696,500 msg/sec
             OptimistAtomicQueue, 5,i:  15,135,815 msg/sec
             OptimistAtomicQueue, 6,s:   9,860,772 msg/sec
             OptimistAtomicQueue, 6,i:  10,397,360 msg/sec
             OptimistAtomicQueue, 7,s:  11,350,540 msg/sec
             OptimistAtomicQueue, 7,i:  11,884,821 msg/sec
             OptimistAtomicQueue, 8,s:  14,892,930 msg/sec
             OptimistAtomicQueue, 8,i:  12,084,192 msg/sec
             OptimistAtomicQueue, 9,s:  11,966,355 msg/sec
             OptimistAtomicQueue, 9,i:  13,318,179 msg/sec
             OptimistAtomicQueue,10,s:  11,788,447 msg/sec
             OptimistAtomicQueue,10,i:  13,981,733 msg/sec
             OptimistAtomicQueue,11,s:  13,005,042 msg/sec
             OptimistAtomicQueue,11,i:  14,918,750 msg/sec
             OptimistAtomicQueue,12,s:  12,811,808 msg/sec
             OptimistAtomicQueue,12,i:  16,802,824 msg/sec
             OptimistAtomicQueue,13,s:  12,804,975 msg/sec
             OptimistAtomicQueue,13,i:  15,957,640 msg/sec
             OptimistAtomicQueue,14,s:  12,739,538 msg/sec
             OptimistAtomicQueue,14,i:  16,393,143 msg/sec
             OptimistAtomicQueue,15,s:  13,502,246 msg/sec
             OptimistAtomicQueue,15,i:  17,547,542 msg/sec
             OptimistAtomicQueue,16,s:  13,495,727 msg/sec
             OptimistAtomicQueue,16,i:  18,854,807 msg/sec
                    AtomicQueueB, 1,s:  23,506,413 msg/sec
                    AtomicQueueB, 1,i:  23,989,120 msg/sec
                    AtomicQueueB, 2,s:   2,900,028 msg/sec
                    AtomicQueueB, 2,i:   3,019,233 msg/sec
                    AtomicQueueB, 3,s:   2,442,955 msg/sec
                    AtomicQueueB, 3,i:   2,580,206 msg/sec
                    AtomicQueueB, 4,s:   1,937,146 msg/sec
                    AtomicQueueB, 4,i:   2,040,879 msg/sec
                    AtomicQueueB, 5,s:     910,414 msg/sec
                    AtomicQueueB, 5,i:   1,099,844 msg/sec
                    AtomicQueueB, 6,s:     756,099 msg/sec
                    AtomicQueueB, 6,i:   1,011,954 msg/sec
                    AtomicQueueB, 7,s:     855,619 msg/sec
                    AtomicQueueB, 7,i:     953,598 msg/sec
                    AtomicQueueB, 8,s:     889,926 msg/sec
                    AtomicQueueB, 8,i:     837,621 msg/sec
                    AtomicQueueB, 9,s:     804,535 msg/sec
                    AtomicQueueB, 9,i:     835,749 msg/sec
                    AtomicQueueB,10,s:     823,345 msg/sec
                    AtomicQueueB,10,i:     848,376 msg/sec
                    AtomicQueueB,11,s:     817,568 msg/sec
                    AtomicQueueB,11,i:     861,474 msg/sec
                    AtomicQueueB,12,s:     828,668 msg/sec
                    AtomicQueueB,12,i:     838,464 msg/sec
                    AtomicQueueB,13,s:     790,748 msg/sec
                    AtomicQueueB,13,i:     834,144 msg/sec
                    AtomicQueueB,14,s:     752,389 msg/sec
                    AtomicQueueB,14,i:     808,875 msg/sec
                    AtomicQueueB,15,s:     728,601 msg/sec
                    AtomicQueueB,15,i:     812,877 msg/sec
                    AtomicQueueB,16,s:     700,183 msg/sec
                    AtomicQueueB,16,i:     806,047 msg/sec
            OptimistAtomicQueueB, 1,s: 244,184,382 msg/sec
            OptimistAtomicQueueB, 1,i: 319,738,275 msg/sec
            OptimistAtomicQueueB, 2,s:  13,636,324 msg/sec
            OptimistAtomicQueueB, 2,i:  14,390,246 msg/sec
            OptimistAtomicQueueB, 3,s:  17,336,540 msg/sec
            OptimistAtomicQueueB, 3,i:  16,551,789 msg/sec
            OptimistAtomicQueueB, 4,s:  17,567,695 msg/sec
            OptimistAtomicQueueB, 4,i:  19,271,642 msg/sec
            OptimistAtomicQueueB, 5,s:   9,650,529 msg/sec
            OptimistAtomicQueueB, 5,i:  10,569,768 msg/sec
            OptimistAtomicQueueB, 6,s:   9,904,025 msg/sec
            OptimistAtomicQueueB, 6,i:  10,362,040 msg/sec
            OptimistAtomicQueueB, 7,s:  11,220,628 msg/sec
            OptimistAtomicQueueB, 7,i:  11,677,662 msg/sec
            OptimistAtomicQueueB, 8,s:  14,819,107 msg/sec
            OptimistAtomicQueueB, 8,i:  12,001,769 msg/sec
            OptimistAtomicQueueB, 9,s:  11,884,864 msg/sec
            OptimistAtomicQueueB, 9,i:  12,992,851 msg/sec
            OptimistAtomicQueueB,10,s:  11,777,906 msg/sec
            OptimistAtomicQueueB,10,i:  13,804,056 msg/sec
            OptimistAtomicQueueB,11,s:  13,023,567 msg/sec
            OptimistAtomicQueueB,11,i:  15,249,291 msg/sec
            OptimistAtomicQueueB,12,s:  12,817,431 msg/sec
            OptimistAtomicQueueB,12,i:  15,883,283 msg/sec
            OptimistAtomicQueueB,13,s:  12,827,789 msg/sec
            OptimistAtomicQueueB,13,i:  16,339,553 msg/sec
            OptimistAtomicQueueB,14,s:  12,816,525 msg/sec
            OptimistAtomicQueueB,14,i:  16,514,860 msg/sec
            OptimistAtomicQueueB,15,s:  13,564,918 msg/sec
            OptimistAtomicQueueB,15,i:  17,951,205 msg/sec
            OptimistAtomicQueueB,16,s:  13,534,841 msg/sec
            OptimistAtomicQueueB,16,i:  18,759,357 msg/sec
                    AtomicQueue2, 1,s:  21,817,100 msg/sec
                    AtomicQueue2, 1,i:  21,207,205 msg/sec
                    AtomicQueue2, 2,s:   2,893,231 msg/sec
                    AtomicQueue2, 2,i:   3,023,925 msg/sec
                    AtomicQueue2, 3,s:   2,460,269 msg/sec
                    AtomicQueue2, 3,i:   2,593,249 msg/sec
                    AtomicQueue2, 4,s:   1,953,142 msg/sec
                    AtomicQueue2, 4,i:   2,063,375 msg/sec
                    AtomicQueue2, 5,s:     916,142 msg/sec
                    AtomicQueue2, 5,i:   1,261,566 msg/sec
                    AtomicQueue2, 6,s:     751,186 msg/sec
                    AtomicQueue2, 6,i:   1,028,086 msg/sec
                    AtomicQueue2, 7,s:     835,798 msg/sec
                    AtomicQueue2, 7,i:     939,474 msg/sec
                    AtomicQueue2, 8,s:     843,551 msg/sec
                    AtomicQueue2, 8,i:     839,306 msg/sec
                    AtomicQueue2, 9,s:     799,544 msg/sec
                    AtomicQueue2, 9,i:     843,440 msg/sec
                    AtomicQueue2,10,s:     808,469 msg/sec
                    AtomicQueue2,10,i:     838,938 msg/sec
                    AtomicQueue2,11,s:     834,301 msg/sec
                    AtomicQueue2,11,i:     844,334 msg/sec
                    AtomicQueue2,12,s:     808,048 msg/sec
                    AtomicQueue2,12,i:     834,331 msg/sec
                    AtomicQueue2,13,s:     760,991 msg/sec
                    AtomicQueue2,13,i:     826,345 msg/sec
                    AtomicQueue2,14,s:     711,768 msg/sec
                    AtomicQueue2,14,i:     811,407 msg/sec
